sembol,karar,giris_zaman,giris_fiyat,cikis_zaman,cikis_fiyat,getiri_%,nedenler
ARASE.IS,GÜÇLÜ AL,2026-08-17 14:59,124.19999694824219,2026-08-18 08:20,120.69999694824219,-2.82,Hacim satış yönünde belirgin arttı
FONET.IS,AL,2026-08-17 14:59,5.429999828338623,2026-08-18 08:20,5.559999942779541,2.39,Hacim satış yönünde belirgin arttı
ESCOM.IS,GÜÇLÜ AL,2026-08-12 12:36,6.010000228881836,2026-08-18 09:20,6.090000152587891,1.33,Hacim satış yönünde belirgin arttı
ASELS.IS,AL,2026-08-12 15:32,381.0,2026-08-18 09:20,381.25,0.07,MACD aşağı kesişim yaptı; Hacim satış yönünde belirgin arttı
ADEL.IS,GÜÇLÜ AL,2026-08-13 18:11,33.86000061035156,2026-08-18 09:20,32.31999969482422,-4.55,Hacim satış yönünde belirgin arttı
LYDYE.IS,GÜÇLÜ AL,2026-08-14 10:38,13930.0,2026-08-18 09:20,13310.0,-4.45,RSI 50'nin altına düştü; Stop-loss tetiklendi (13325.84)
ECILC.IS,AL,2026-08-17 09:25,77.80000305175781,2026-08-18 09:20,74.30000305175781,-4.5,MACD aşağı kesişim yaptı
GOODY.IS,AL,2026-08-17 09:25,3.0899999141693115,2026-08-18 09:20,3.059999942779541,-0.97,Hacim satış yönünde belirgin arttı
INTEM.IS,GÜÇLÜ AL,2026-08-17 09:25,263.25,2026-08-18 09:20,258.0,-1.99,MACD aşağı kesişim yaptı
ORGE.IS,GÜÇLÜ AL,2026-08-17 09:25,116.30000305175781,2026-08-18 09:20,111.9000015258789,-3.78,Hacim satış yönünde belirgin arttı
SONME.IS,GÜÇLÜ AL,2026-08-17 09:25,139.3000030517578,2026-08-18 09:20,137.5,-1.29,Hacim satış yönünde belirgin arttı
CELHA.IS,GÜÇLÜ AL,2026-08-17 11:56,25.65999984741211,2026-08-18 09:20,25.920000076293945,1.01,Hacim satış yönünde belirgin arttı
AKENR.IS,GÜÇLÜ AL,2026-08-17 15:56,11.180000305175781,2026-08-18 09:20,11.050000190734863,-1.16,Hacim satış yönünde belirgin arttı
VERTU.IS,AL,2026-08-17 15:56,36.68000030517578,2026-08-18 09:20,36.41999816894531,-0.71,Hacim satış yönünde belirgin arttı; Fiyat EMA50'nin altında kapandı
ARDYZ.IS,GÜÇLÜ AL,2026-08-18 08:20,88.5,2026-08-18 09:20,88.30000305175781,-0.23,Hacim satış yönünde belirgin arttı
BAGFS.IS,AL,2026-08-18 08:20,26.799999237060547,2026-08-18 09:20,26.940000534057617,0.52,Hacim satış yönünde belirgin arttı
BESLR.IS,AL,2026-08-18 08:20,13.149999618530273,2026-08-18 09:20,13.1899995803833,0.3,Hacim satış yönünde belirgin arttı
DERHL.IS,AL,2026-08-18 08:20,2.430000066757202,2026-08-18 09:20,2.450000047683716,0.82,Hacim satış yönünde belirgin arttı
